config: RA_IP32_GOP32
PSNR [dB], MS-SSIM [dB],Size [bytes],Rate [Mbit/s]
32.165398634198155,21.725596292628953,96391919.0,3.8460915786438488
31.71751976643438,20.60189519315584,66848978.0,2.6673116791745572
30.351278529742856,18.4947069412131,41300076.0,1.6520288529508274
29.54592563445037,17.09818365730765,27289695.0,1.088874121525261
29.022252136262914,16.255710515031826,21966472.0,0.8764745411045909
28.375369001169183,15.104701824469638,15451443.0,0.6165212334884156
27.219524081537806,13.437435654269445,10010172.0,0.3994114717228158
config: LDP_IP8_GOP32
PSNR [dB], MS-SSIM [dB],Size [bytes],Rate [Mbit/s]
32.234348687610165,21.950889157778143,115697723.0,4.616403975716769
31.873759162160418,21.047005631814063,82306486.0,3.2840749095613275
30.43806180831932,18.71471810854366,54179129.0,2.16177760487535
29.53703997754514,17.313491405488122,37485875.0,1.4957074166725115
28.921651546005837,16.367227626640254,29858591.0,1.1913745113350322
28.156154853209827,15.062395472054813,20720455.0,0.8267577646334526
26.929725004729754,13.256238674451382,13992241.0,0.5582982560649632
config: AI_IP32_GOP32
PSNR [dB], MS-SSIM [dB],Size [bytes],Rate [Mbit/s]
32.066484222110546,21.819303420614162,222964970.0,8.896427235249652
31.771752430678717,21.21916450493746,183032161.0,7.293990958211069
30.201549918246094,18.803207881449907,127629411.0,5.092485012507891
29.78008707100421,18.016916191864265,100619995.0,4.0147941801292095
29.47022217190591,17.42908030507174,88002442.0,3.511346745532618
28.999500785428282,16.500552329763586,69637955.0,2.778593424200625
28.119596529485268,14.876339120817462,47596849.0,1.8991409446769378
