|                 Video                  | Frame idx. |  PSNR dB   |   R bpp    | R Mode bpp |R Codec bpp |   alpha    |    beta    |    Loss    | MS-SSIM dB |     h      |     w      |
|              VR_720P-7f3e              | frame_236  |  31.10239  |  0.236976  |  0.000000  |  0.236976  |   1.000    |   1.000    |  0.02447   |  17.77477  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_237  |  30.96703  |  0.070595  |  0.002213  |  0.068382  |   0.406    |   0.477    |  0.00786   |  17.46239  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_238  |  31.00382  |  0.101542  |  0.002871  |  0.098671  |   0.562    |   0.521    |  0.01095   |  17.57538  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_239  |  31.18049  |  0.070971  |  0.001938  |  0.069033  |   0.413    |   0.454    |  0.00786   |  17.46766  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_240  |  30.19341  |  0.144115  |  0.004006  |  0.140109  |   0.723    |   0.584    |  0.01537   |  16.94935  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_241  |  30.88837  |  0.065293  |  0.002295  |  0.062998  |   0.401    |   0.471    |  0.00734   |  17.48895  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_242  |  30.63936  |  0.105884  |  0.002864  |  0.103020  |   0.572    |   0.557    |  0.01145   |  17.37324  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_243  |  30.41589  |  0.079679  |  0.002567  |  0.077112  |   0.410    |   0.496    |  0.00888   |  16.93423  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_244  |  29.82324  |  0.170888  |  0.003332  |  0.167555  |   0.856    |   0.560    |  0.01813   |  16.65028  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_245  |  30.81323  |  0.063483  |  0.002239  |  0.061244  |   0.391    |   0.452    |  0.00718   |  17.45191  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_246  |  30.72991  |  0.097679  |  0.003527  |  0.094152  |   0.540    |   0.563    |  0.01061   |  17.36755  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_247  |  30.71156  |  0.066415  |  0.002197  |  0.064218  |   0.387    |   0.482    |  0.00749   |  17.15366  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_248  |  30.45642  |  0.138808  |  0.003766  |  0.135042  |   0.733    |   0.599    |  0.01478   |  17.13456  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_249  |  30.98182  |  0.072866  |  0.002112  |  0.070754  |   0.455    |   0.500    |  0.00808   |  17.49017  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_250  |  30.29084  |  0.118163  |  0.003492  |  0.114671  |   0.621    |   0.499    |  0.01275   |  17.13910  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_251  |  31.05439  |  0.074803  |  0.002772  |  0.072032  |   0.423    |   0.473    |  0.00826   |  17.41699  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_252  |  30.42660  |  0.171085  |  0.002928  |  0.168158  |   0.912    |   0.478    |  0.01801   |  16.95078  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_253  |  30.96109  |  0.062700  |  0.002046  |  0.060654  |   0.398    |   0.477    |  0.00707   |  17.24280  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_254  |  31.20117  |  0.099240  |  0.003726  |  0.095514  |   0.566    |   0.545    |  0.01068   |  17.43360  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_255  |  31.42099  |  0.066273  |  0.002136  |  0.064137  |   0.410    |   0.446    |  0.00735   |  17.51521  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_256  |  30.62176  |  0.134303  |  0.003939  |  0.130364  |   0.712    |   0.596    |  0.01430   |  17.00306  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_257  |  30.82557  |  0.080939  |  0.001596  |  0.079343  |   0.451    |   0.409    |  0.00892   |  16.99152  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_258  |  30.70375  |  0.102770  |  0.002814  |  0.099956  |   0.561    |   0.515    |  0.01113   |  17.26464  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_259  |  31.03896  |  0.063220  |  0.001876  |  0.061344  |   0.402    |   0.431    |  0.00711   |  17.33718  |   720.0    |   1440.0   |
|              VR_720P-7f3e              | frame_260  |  30.06571  |  0.162539  |  0.003317  |  0.159222  |   0.856    |   0.604    |  0.01724   |  16.73452  |   720.0    |   1440.0   |
